Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Tahoe,Abha,Generalis Motors,Automatic,Saudi,Semi Full,2016,5.3,147000,120000
500,Dammam,Other,Automatic,Gulf Arabic,Full,2017,1.4,74000,48000
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,17002,70500
S,Al-Medina,Mercedes,Automatic,Saudi,Full,2011,3.0,189,100000
Other,Riyadh,Renault,Automatic,Saudi,Standard,2020,1.6,46505,26000
Other,Aseer,Mercedes,Automatic,Saudi,Semi Full,2016,3.0,71000,138000
Yukon,Other,Generalis Motors,Automatic,Saudi,Standard,2015,5.3,170000,102000
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,97173,64000
Rio,Al-Ahsa,Kia,Automatic,Other,Standard,2014,1.4,196,18000
Other,Riyadh,Chrysler,Automatic,Saudi,Full,2016,2.4,163000,42000
Other,Makkah,Other,Automatic,Saudi,Full,2015,3.5,100000,65000
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2017,1.6,86782,46000
FJ,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2017,1.6,74658,135000
Silverado,Dammam,Generalis Motors,Automatic,Saudi,Semi Full,2016,5.3,270000,75000
Fluence,Riyadh,Renault,Automatic,Saudi,Semi Full,2015,1.6,132000,23000
Other,Jazan,Mitsubishi,Automatic,Saudi,Semi Full,2021,1.2,3000,35000
S,Dammam,Mercedes,Automatic,Other,Semi Full,2007,3.0,200000,75000
ES,Jeddah,Lexus,Automatic,Other,Full,2016,3.5,103000,102000
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,50000,33000
Other,Jazan,Nissan,Automatic,Saudi,Semi Full,2015,3.7,111075,80000
Taurus,Riyadh,Ford,Automatic,Other,Full,2016,3.5,105,83000
Range Rover,Qassim,Land Rover,Automatic,Saudi,Full,2020,2.0,4200,290000
Accord,Dammam,Honda,Automatic,Gulf Arabic,Full,2019,1.5,81000,95000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2014,2.0,255000,53000
Other,Dammam,Honda,Automatic,Other,Semi Full,2005,6.0,4130,15000
Corolla,Jeddah,Toyota,Automatic,Saudi,Standard,2017,1.6,157000,47500
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2015,1.6,36000,45000
Malibu,Other,Generalis Motors,Automatic,Saudi,Standard,2021,1.5,24000,1200
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2013,5.3,77000,80000
Rio,Makkah,Kia,Automatic,Saudi,Standard,2016,1.6,80000,25000
A8,Dammam,Audi,Automatic,Gulf Arabic,Full,2018,3.0,68800,315000
Grand Cherokee,Jubail,Jeep,Automatic,Saudi,Semi Full,2014,5.7,175000,70000
500,Riyadh,Other,Automatic,Saudi,Full,2020,1.4,11500,85000
Other,Dammam,Mercedes,Automatic,Saudi,Full,2014,4.6,139000,135000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,69000,28000
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,3.3,16700,52000
Copper,Qassim,Other,Manual,Saudi,Full,1998,2.0,900000,40000
X,Jeddah,BMW,Automatic,Saudi,Full,2015,2.0,92000,72000
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,4.0,192901,114500
Azera,Tabouk,Hyundai,Automatic,Saudi,Standard,2018,3.5,147,2049
Expedition,Dammam,Ford,Automatic,Saudi,Standard,2013,5.4,21700,35000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2019,2.0,49000,82000
Blazer,Jubail,Generalis Motors,Automatic,Saudi,Standard,2015,3.6,180000,40000
6,Riyadh,Mazda,Automatic,Gulf Arabic,Semi Full,2018,2.0,25712,78000
Expedition,Dammam,Ford,Automatic,Saudi,Standard,2013,5.4,190000,50000
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,88000
Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Full,2014,2.4,230000,61000
Patrol,Riyadh,Nissan,Automatic,Saudi,Semi Full,2015,5.6,219175,113500
500,Riyadh,Other,Automatic,Saudi,Full,2016,1.5,155000,45000
Yukon,Dammam,Generalis Motors,Automatic,Saudi,Full,2004,5.3,470000,33000
Altima,Jeddah,Nissan,Automatic,Saudi,Semi Full,2018,2.5,77000,65000
Cruze,Riyadh,Generalis Motors,Automatic,Gulf Arabic,Semi Full,2016,1.8,52000,45000
Other,Riyadh,Audi,Automatic,Saudi,Semi Full,2016,1.4,70278,69500
Explorer,Riyadh,Ford,Automatic,Other,Full,2013,3.5,111251,74000
Pajero,Qassim,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,6.0,200000,53000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2020,2.4,100,72910
Land Cruiser Pickup,Dammam,Toyota,Manual,Saudi,Semi Full,2015,4.0,157000,90000
C,Dammam,Mercedes,Automatic,Other,Full,2016,2.0,84000,129000
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2017,2.7,100000,90000
Elantra,Taef,Hyundai,Manual,Saudi,Standard,2007,1.6,191700,13000
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.4,209000,57000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,105000,35000
Caprice,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2015,6.0,264000,69000
Flex,Riyadh,Ford,Automatic,Saudi,Full,2013,3.5,71927,64000
Other,Jeddah,Nissan,Automatic,Saudi,Standard,2020,1.5,3990,67000
Azera,Dammam,Hyundai,Automatic,Saudi,Semi Full,2008,2.7,407767,17000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,64126,32000
Grand Cherokee,Riyadh,Jeep,Automatic,Gulf Arabic,Full,2014,5.7,76300,85000
Echo Sport,Riyadh,Ford,Automatic,Saudi,Standard,2015,1.4,101600,28000
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,1.4,127000,33000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,240000,35000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.4,173000,44000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,97300,31000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2018,5.3,133634,146500
Senta fe,Makkah,Hyundai,Automatic,Saudi,Semi Full,2017,3.3,147,65000
Spark,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2017,1.4,101000,21000
Flex,Riyadh,Ford,Automatic,Gulf Arabic,Standard,2017,2.5,110000,67000
Other,Dammam,Honda,Automatic,Saudi,Semi Full,2014,2.4,215000,50000
Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2017,2.4,139000,62000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2009,5.3,400,35000
Azera,Dammam,Hyundai,Automatic,Saudi,Full,2015,3.0,272783,36000
Charger,Al-Medina,Dodge,Automatic,Saudi,Full,2012,6.4,167000,85000
The 7,Dammam,BMW,Automatic,Other,Full,1989,5.0,67000,48000
Malibu,Makkah,Generalis Motors,Automatic,Saudi,Full,2014,2.6,138,27000
300,Riyadh,Chrysler,Automatic,Gulf Arabic,Full,2016,3.5,18000,86000
Furniture,Makkah,Toyota,Automatic,Saudi,Standard,2021,2.7,3000,100000
C,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,210000,210000
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2008,5.7,390000,25000
Expedition,Al-Jouf,Ford,Automatic,Saudi,Full,2003,5.4,400000,4000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,84655,61500
Optima,Riyadh,Kia,Manual,Saudi,Standard,2015,2.4,104000,25000
Yukon,Makkah,Generalis Motors,Automatic,Saudi,Full,2007,4.7,300000,35000
Other,Al-Medina,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,25000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Full,2012,5.3,287928,58000
Other,Riyadh,Other,Automatic,Saudi,Full,2018,1.0,30000,79000
X,Riyadh,BMW,Automatic,Other,Standard,2020,3.0,55000,266000
Camry,Abha,Toyota,Automatic,Saudi,Semi Full,2016,2.7,194710,55000
Land Cruiser Pickup,Jeddah,Toyota,Manual,Saudi,Full,2019,4.0,67000,95000
Other,Al-Ahsa,Other,Automatic,Saudi,Semi Full,2017,3.5,75000,125000
Other,Riyadh,Other,Automatic,Gulf Arabic,Full,2017,2.7,11000,43000
Sonata,Dammam,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,53000,79000
LX,Dammam,Lexus,Automatic,Gulf Arabic,Full,2017,5.7,68000,342000
Other,Dammam,Lexus,Automatic,Other,Full,2019,3.6,42000,215000
Datsun,Al-Medina,Nissan,Manual,Saudi,Full,2007,1.6,432000,27000
Other,Dammam,Other,Automatic,Saudi,Full,2020,3.0,3000,385000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017,3.5,153889,68000
Sportage,Aseer,Kia,Automatic,Other,Standard,2014,1.2,150000,33000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,120966,49000
Cerato,Jeddah,Kia,Automatic,Saudi,Full,2010,1.6,293300,13500
Rav4,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,2.5,162000,60000
Prado,Jeddah,Toyota,Automatic,Saudi,Full,2016,4.0,143000,120000
Accord,Riyadh,Honda,Automatic,Saudi,Full,2018,1.5,39000,72000
Other,Taef,Other,Automatic,Saudi,Full,2015,1.6,140000,15000
Civic,Jeddah,Honda,Automatic,Saudi,Standard,2017,1.5,200000,38000
Camry,Makkah,Toyota,Automatic,Saudi,Standard,2015,2.5,310000,30000
Charger,Aseer,Dodge,Automatic,Saudi,Full,2018,5.7,85000,130000
E,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2018,3.0,86000,245000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,305000,45000
LS,Riyadh,Lexus,Automatic,Saudi,Standard,2020,3.5,2900,325000
X,Jeddah,BMW,Automatic,Saudi,Full,2009,3.0,180000,35000
Expedition,Riyadh,Ford,Automatic,Saudi,Full,2018,3.5,36000,155000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,226000,41000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,108000,55000
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,2.4,77000,63000
