Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2015,1.6,176277,37000
E,Jeddah,Mercedes,Automatic,Gulf Arabic,Full,1993,3.2,217396,35000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2007,5.3,374000,32000
Sierra,Dammam,Generalis Motors,Automatic,Saudi,Standard,2018,5.3,61000,145000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.4,183000,34000
Charger,Dammam,Dodge,Automatic,Other,Full,2015,5.7,119000,105000
Rio,Riyadh,Kia,Automatic,Saudi,Semi Full,2018,2.0,85000,30000
Explorer,Riyadh,Ford,Automatic,Other,Semi Full,2006,3.5,405000,18000
Camry,Dammam,Toyota,Automatic,Gulf Arabic,Full,2016,2.6,183000,70000
ML,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,5.5,140000,120000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,22999,53000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,348000,50000
LX,Makkah,Lexus,Automatic,Saudi,Full,2012,5.7,309,150000
E,Riyadh,Mercedes,Automatic,Other,Standard,2019,2.0,28000,185000
Datsun,Aseer,Nissan,Manual,Saudi,Full,2015,2.4,200000,40000
Land Cruiser,Al-Baha,Toyota,Automatic,Gulf Arabic,Full,2006,4.6,285,65000
G,Riyadh,Mercedes,Automatic,Saudi,Full,2015,8.8,213000,240000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,102109,35000
LX,Dammam,Lexus,Automatic,Saudi,Full,2014,5.7,160000,188000
Marquis,Qassim,Ford,Automatic,Other,Semi Full,2010,5.8,500,20000
Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2016,1.6,81000,38000
Other,Riyadh,Other,Manual,Saudi,Standard,2013,1.3,35700,16000
Accord,Riyadh,Honda,Automatic,Saudi,Full,2016,3.5,350000,50000
CX9,Qassim,Mazda,Automatic,Gulf Arabic,Full,2015,2.4,138020,58000
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2016,2.5,130000,55000
